Name,Academic Press,Conflict Resolution,Course Clarity,Cultural Awareness and Inclusive Classroom Instruction,Guidance,Inclusive Leadership,Personal Attention and Support,Preventing Bullying,Safety,Social Emotional,Student-Student Trust,Student-Teacher Trust,system_code,fiscal_year,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,Simple_Name
01M034 - P.S. 034 Franklin D. Roosevelt,58.0,69.0,57.0,79.0,77.0,73.0,61.0,40.0,64.0,57.0,36.0,74.0,01M034,2020,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1955-07-01T00:00:00.000,Open,M034,730 EAST  12 STREET,NY,991163.0,203782.0,-73.975058,40.726008,103.0,2.0,2800.0,1003810038.0,MN28,Lower East Side,ANGELIKI LOUKATOS,Principal,212-228-4433,212-353-1973,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,9.0,01
01M140 - P.S. 140 Nathan Straus,76.0,93.0,71.0,77.0,93.0,75.0,74.0,17.0,64.0,55.0,81.0,86.0,01M140,2020,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1959-07-01T00:00:00.000,Open,M140,123 RIDGE STREET,NY,988749.0,201282.0,-73.983769,40.719148,103.0,1.0,2201.0,1003440001.0,MN28,Lower East Side,MELISSA RODRIGUEZ,Principal,212-677-4680,212-677-3907,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01
01M184 - P.S. 184m Shuang Wen,67.0,75.0,80.0,84.0,83.0,83.0,70.0,63.0,82.0,62.0,74.0,84.0,01M184,2020,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1999-06-22T00:00:00.000,Open,M137,327 CHERRY STREET,NY,988287.0,198359.0,-73.985438,40.711125,103.0,1.0,201.0,1002450007.0,MN28,Lower East Side,Iris Chiu,Principal,212-602-9700,212-602-9710,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01
01M188 - P.S. 188 The Island School,99.0,100.0,99.0,99.0,100.0,100.0,99.0,98.0,100.0,99.0,100.0,99.0,01M188,2020,M188,P.S. 188 The Island School,310100010188,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1904-07-01T00:00:00.000,Open,M188,442 EAST HOUSTON STREET,NY,990520.0,201552.0,-73.97738,40.719888,103.0,2.0,2000.0,1003560100.0,MN28,Lower East Side,Suany Ramos,Principal,212-677-5710,212-228-3007,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,9.0,01
01M292 - Orchard Collegiate Academy,71.0,87.0,77.0,87.0,82.0,89.0,70.0,77.0,88.0,65.0,84.0,88.0,01M292,2020,M292,Orchard Collegiate Academy,310100011292,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M056,220 HENRY STREET,NY,988117.0,199174.0,-73.986051,40.713362,103.0,1.0,201.0,1002690041.0,MN28,Lower East Side,MILES DOYLE,Principal,212-406-9411,,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01
01M332 - University Neighborhood Middle School,68.0,74.0,73.0,83.0,84.0,85.0,73.0,59.0,77.0,56.0,63.0,82.0,01M332,2020,M332,University Neighborhood Middle School,310100010332,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2004-09-13T00:00:00.000,Open,M056,220 HENRY STREET,NY,988117.0,199174.0,-73.986051,40.713362,103.0,1.0,201.0,1002690041.0,MN28,Lower East Side,LAURA PEYNADO CASTRO,Principal,212-267-5701,212-349-8224,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01
01M378 - School for Global Leaders,77.0,83.0,86.0,90.0,89.0,91.0,79.0,64.0,79.0,68.0,71.0,89.0,01M378,2020,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2008-07-01T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.72004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Keri Ricks,Principal,212-260-5375,212-432-5586,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01
01M448 - University Neighborhood High School,73.0,90.0,80.0,91.0,87.0,95.0,77.0,84.0,90.0,66.0,93.0,91.0,01M448,2020,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,01
01M450 - East Side Community School,76.0,87.0,82.0,87.0,86.0,93.0,78.0,69.0,87.0,64.0,81.0,88.0,01M450,2020,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,01
01M458 - Forsyth Satellite Academy,92.0,94.0,94.0,96.0,96.0,95.0,93.0,93.0,98.0,77.0,96.0,95.0,01M458,2020,M458,Forsyth Satellite Academy,310100011458,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",2010-07-01T00:00:00.000,Open,M510,198 FORSYTH STREET,NY,986892.0,202472.0,-73.990468,40.722415,103.0,1.0,3601.0,1004220072.0,MN27,Chinatown,Patrick Reimer,Principal,212-677-8900,212-260-3063,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,5.0,01
